,cell_barcode,clone_id
TP12-1T,cell_1,0
TP12-1T,cell_10,5
TP12-1T,cell_100,5
TP12-1T,cell_1000,0
TP12-1T,cell_1001,5
TP12-1T,cell_1002,0
TP12-1T,cell_1003,0
TP12-1T,cell_1004,0
TP12-1T,cell_1005,0
TP12-1T,cell_1006,0
TP12-1T,cell_1007,5
TP12-1T,cell_1008,5
TP12-1T,cell_1009,5
TP12-1T,cell_101,5
TP12-1T,cell_1010,5
TP12-1T,cell_1011,0
TP12-1T,cell_1012,0
TP12-1T,cell_1013,0
TP12-1T,cell_1014,0
TP12-1T,cell_1015,0
TP12-1T,cell_1016,5
TP12-1T,cell_1017,5
TP12-1T,cell_1018,5
TP12-1T,cell_1019,5
TP12-1T,cell_102,5
TP12-1T,cell_1020,5
TP12-1T,cell_1021,5
TP12-1T,cell_1022,5
TP12-1T,cell_1023,0
TP12-1T,cell_1024,0
TP12-1T,cell_1025,5
TP12-1T,cell_1026,5
TP12-1T,cell_1027,5
TP12-1T,cell_1028,0
TP12-1T,cell_1029,5
TP12-1T,cell_103,5
TP12-1T,cell_1030,5
TP12-1T,cell_1031,0
TP12-1T,cell_1032,0
TP12-1T,cell_1033,0
TP12-1T,cell_1034,5
TP12-1T,cell_1035,5
TP12-1T,cell_1036,5
TP12-1T,cell_1037,5
TP12-1T,cell_1038,0
TP12-1T,cell_1039,0
TP12-1T,cell_104,5
TP12-1T,cell_1040,5
TP12-1T,cell_1041,0
TP12-1T,cell_1042,5
TP12-1T,cell_1043,0
TP12-1T,cell_1044,0
TP12-1T,cell_1045,0
TP12-1T,cell_1046,5
TP12-1T,cell_1047,5
TP12-1T,cell_1048,0
TP12-1T,cell_1049,5
TP12-1T,cell_105,5
TP12-1T,cell_1050,5
TP12-1T,cell_1051,5
TP12-1T,cell_1052,0
TP12-1T,cell_1053,5
TP12-1T,cell_1054,5
TP12-1T,cell_1055,5
TP12-1T,cell_1056,0
TP12-1T,cell_1057,0
TP12-1T,cell_1058,0
TP12-1T,cell_1059,0
TP12-1T,cell_106,0
TP12-1T,cell_1060,0
TP12-1T,cell_1061,5
TP12-1T,cell_1062,0
TP12-1T,cell_1063,0
TP12-1T,cell_1064,5
TP12-1T,cell_1065,0
TP12-1T,cell_1066,0
TP12-1T,cell_1067,0
TP12-1T,cell_1068,0
TP12-1T,cell_1069,5
TP12-1T,cell_107,0
TP12-1T,cell_1070,5
TP12-1T,cell_1071,0
TP12-1T,cell_1072,5
TP12-1T,cell_1073,5
TP12-1T,cell_1074,0
TP12-1T,cell_1075,5
TP12-1T,cell_1076,0
TP12-1T,cell_1077,0
TP12-1T,cell_1078,0
TP12-1T,cell_1079,5
TP12-1T,cell_108,0
TP12-1T,cell_1080,1
TP12-1T,cell_1081,0
TP12-1T,cell_1082,0
TP12-1T,cell_1083,5
TP12-1T,cell_1084,0
TP12-1T,cell_1085,0
TP12-1T,cell_1086,0
TP12-1T,cell_1087,0
TP12-1T,cell_1088,0
TP12-1T,cell_1089,0
TP12-1T,cell_109,5
TP12-1T,cell_1090,5
TP12-1T,cell_1091,5
TP12-1T,cell_1092,0
TP12-1T,cell_1093,0
TP12-1T,cell_1094,0
TP12-1T,cell_1095,0
TP12-1T,cell_1096,0
TP12-1T,cell_1097,5
TP12-1T,cell_1098,5
TP12-1T,cell_1099,5
TP12-1T,cell_11,0
TP12-1T,cell_110,5
TP12-1T,cell_1100,0
TP12-1T,cell_1101,0
TP12-1T,cell_1102,0
TP12-1T,cell_1103,5
TP12-1T,cell_1104,5
TP12-1T,cell_1105,5
TP12-1T,cell_1106,0
TP12-1T,cell_1107,5
TP12-1T,cell_1108,0
TP12-1T,cell_1109,5
TP12-1T,cell_111,5
TP12-1T,cell_1110,5
TP12-1T,cell_1111,5
TP12-1T,cell_1112,0
TP12-1T,cell_1113,5
TP12-1T,cell_1114,5
TP12-1T,cell_1115,5
TP12-1T,cell_1116,5
TP12-1T,cell_1117,0
TP12-1T,cell_1118,5
TP12-1T,cell_1119,5
TP12-1T,cell_112,5
TP12-1T,cell_1120,5
TP12-1T,cell_1121,5
TP12-1T,cell_1122,5
TP12-1T,cell_1123,0
TP12-1T,cell_1124,5
TP12-1T,cell_1125,0
TP12-1T,cell_1126,5
TP12-1T,cell_1127,5
TP12-1T,cell_1128,5
TP12-1T,cell_1129,5
TP12-1T,cell_113,0
TP12-1T,cell_1130,0
TP12-1T,cell_1131,5
TP12-1T,cell_1132,0
TP12-1T,cell_1133,5
TP12-1T,cell_1134,5
TP12-1T,cell_1135,0
TP12-1T,cell_1136,0
TP12-1T,cell_1137,0
TP12-1T,cell_1138,5
TP12-1T,cell_1139,5
TP12-1T,cell_114,5
TP12-1T,cell_1140,5
TP12-1T,cell_1141,5
TP12-1T,cell_1142,5
TP12-1T,cell_1143,0
TP12-1T,cell_1144,5
TP12-1T,cell_1145,0
TP12-1T,cell_1146,5
TP12-1T,cell_1147,0
TP12-1T,cell_1148,0
TP12-1T,cell_1149,5
TP12-1T,cell_115,0
TP12-1T,cell_1150,0
TP12-1T,cell_1151,0
TP12-1T,cell_1152,0
TP12-1T,cell_1153,0
TP12-1T,cell_1154,0
TP12-1T,cell_1155,0
TP12-1T,cell_1156,0
TP12-1T,cell_1157,0
TP12-1T,cell_1158,0
TP12-1T,cell_1159,5
TP12-1T,cell_116,0
TP12-1T,cell_1160,5
TP12-1T,cell_1161,0
TP12-1T,cell_1162,5
TP12-1T,cell_1163,0
TP12-1T,cell_1164,0
TP12-1T,cell_1165,5
TP12-1T,cell_1166,5
TP12-1T,cell_1167,5
TP12-1T,cell_1168,5
TP12-1T,cell_1169,5
TP12-1T,cell_117,0
TP12-1T,cell_1170,5
TP12-1T,cell_1171,0
TP12-1T,cell_1172,0
TP12-1T,cell_1173,5
TP12-1T,cell_1174,5
TP12-1T,cell_1175,5
TP12-1T,cell_1176,5
TP12-1T,cell_1177,5
TP12-1T,cell_1178,0
TP12-1T,cell_1179,5
TP12-1T,cell_118,0
TP12-1T,cell_1180,5
TP12-1T,cell_1181,0
TP12-1T,cell_1182,0
TP12-1T,cell_1183,0
TP12-1T,cell_1184,0
TP12-1T,cell_1185,5
TP12-1T,cell_1186,5
TP12-1T,cell_1187,0
TP12-1T,cell_1188,5
TP12-1T,cell_1189,5
TP12-1T,cell_119,5
