"filename", "language", "Python", "Shell Script", "CSV", "R", "Excel", "pdf", "YAML", "Log", "JSON", "comment", "blank", "total"
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/0_condor_pipeline/RUN_condor_smk.sh", "Shell Script", 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 6, 22
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/0_condor_pipeline/cleanup_snv_lists_and_make_heatmaps.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 21, 29, 188
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/0_condor_pipeline/condor_config_MSK.yaml", "YAML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 25, 3, 60
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/1A.1_get_scMAF.py", "Python", 185, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 238
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/1A.2_snv_cnv_combined_analysis.py", "Python", 144, 0, 0, 0, 0, 0, 0, 0, 0, 54, 39, 237
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/1A.3_get_LOH_from_trees.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/1A_pan_cohort_scMAF.SNVs.csv", "CSV", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 1, 179
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/BPA-3_final_sc_clone_assignment.csv", "CSV", 0, 0, 2967, 0, 0, 0, 0, 0, 0, 0, 1, 2968
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/Figure1-oncoprint.r", "R", 0, 0, 0, 159, 0, 0, 0, 0, 0, 109, 37, 305
"/Users/hzhang/Library/CloudStorage/OneDrive-MemorialSloanKetteringCancerCenter/Iacobuzio_lab/Tapestri_main_manuscript_analysis/1_general_genetics/1A_sc_oncoprint/Figure_1B_sc_oncoprint.pdf", "pdf", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 3, 163
